,Acc,Depth,MAE,Rate,Stops
1123,0.9921436588103255,23,0.007856341189674524,0.08,210
1124,0.9932659932659933,23,0.006734006734006734,0.09,210
1125,0.9461279461279462,24,0.05387205387205387,0.01,210
1126,0.9820426487093153,24,0.017957351290684626,0.02,210
1127,0.9887766554433222,24,0.01122334455667789,0.03,210
1128,0.9910213243546577,24,0.008978675645342313,0.04,210
1129,0.9921436588103255,24,0.007856341189674524,0.05,210
1130,0.9921436588103255,24,0.007856341189674524,0.060000000000000005,210
1131,0.9921436588103255,24,0.007856341189674524,0.06999999999999999,210
1132,0.9921436588103255,24,0.007856341189674524,0.08,210
1133,0.9932659932659933,24,0.006734006734006734,0.09,210
1134,0.9461279461279462,25,0.05387205387205387,0.01,210
1135,0.9831649831649831,25,0.016835016835016835,0.02,210
1136,0.9887766554433222,25,0.01122334455667789,0.03,210
1137,0.9910213243546577,25,0.008978675645342313,0.04,210
1138,0.9921436588103255,25,0.007856341189674524,0.05,210
1139,0.9921436588103255,25,0.007856341189674524,0.060000000000000005,210
1140,0.9921436588103255,25,0.007856341189674524,0.06999999999999999,210
1141,0.9921436588103255,25,0.007856341189674524,0.08,210
1142,0.9932659932659933,25,0.006734006734006734,0.09,210
1143,0.9461279461279462,26,0.05387205387205387,0.01,210
1144,0.9820426487093153,26,0.017957351290684626,0.02,210
1145,0.9887766554433222,26,0.01122334455667789,0.03,210
1146,0.9910213243546577,26,0.008978675645342313,0.04,210
1147,0.9921436588103255,26,0.007856341189674524,0.05,210
1148,0.9921436588103255,26,0.007856341189674524,0.060000000000000005,210
1149,0.9932659932659933,26,0.006734006734006734,0.06999999999999999,210
1150,0.9932659932659933,26,0.006734006734006734,0.08,210
1151,0.9932659932659933,26,0.006734006734006734,0.09,210
1152,0.9461279461279462,27,0.05387205387205387,0.01,210
1153,0.9809203142536476,27,0.019079685746352413,0.02,210
1154,0.9887766554433222,27,0.01122334455667789,0.03,210
1155,0.9910213243546577,27,0.008978675645342313,0.04,210
1156,0.9921436588103255,27,0.007856341189674524,0.05,210
1157,0.9921436588103255,27,0.007856341189674524,0.060000000000000005,210
1158,0.9932659932659933,27,0.006734006734006734,0.06999999999999999,210
1159,0.9932659932659933,27,0.006734006734006734,0.08,210
1160,0.9932659932659933,27,0.006734006734006734,0.09,210
1161,0.9461279461279462,28,0.05387205387205387,0.01,210
1162,0.9809203142536476,28,0.019079685746352413,0.02,210
1163,0.9887766554433222,28,0.01122334455667789,0.03,210
1164,0.9910213243546577,28,0.008978675645342313,0.04,210
1165,0.9921436588103255,28,0.007856341189674524,0.05,210
1166,0.9921436588103255,28,0.007856341189674524,0.060000000000000005,210
1167,0.9932659932659933,28,0.006734006734006734,0.06999999999999999,210
1168,0.9932659932659933,28,0.006734006734006734,0.08,210
1169,0.9932659932659933,28,0.006734006734006734,0.09,210
1170,0.9461279461279462,29,0.05387205387205387,0.01,210
1171,0.9809203142536476,29,0.019079685746352413,0.02,210
1172,0.9887766554433222,29,0.01122334455667789,0.03,210
1173,0.9910213243546577,29,0.008978675645342313,0.04,210
1174,0.9921436588103255,29,0.007856341189674524,0.05,210
1175,0.9921436588103255,29,0.007856341189674524,0.060000000000000005,210
1176,0.9932659932659933,29,0.006734006734006734,0.06999999999999999,210
1177,0.9921436588103255,29,0.007856341189674524,0.08,210
1178,0.9932659932659933,29,0.006734006734006734,0.09,210
1179,0.9461279461279462,30,0.05387205387205387,0.01,210
1180,0.9809203142536476,30,0.019079685746352413,0.02,210
1181,0.9887766554433222,30,0.01122334455667789,0.03,210
1182,0.9910213243546577,30,0.008978675645342313,0.04,210
1183,0.9921436588103255,30,0.007856341189674524,0.05,210
1184,0.9921436588103255,30,0.007856341189674524,0.060000000000000005,210
1185,0.9932659932659933,30,0.006734006734006734,0.06999999999999999,210
1186,0.9921436588103255,30,0.007856341189674524,0.08,210
1187,0.9932659932659933,30,0.006734006734006734,0.09,210
1188,0.9450056116722784,20,0.05499438832772166,0.01,220
1189,0.9775533108866442,20,0.02244668911335578,0.02,220
1190,0.9876543209876543,20,0.012345679012345678,0.03,220
1191,0.9910213243546577,20,0.008978675645342313,0.04,220
1192,0.9910213243546577,20,0.008978675645342313,0.05,220
1193,0.9921436588103255,20,0.007856341189674524,0.060000000000000005,220
1194,0.9921436588103255,20,0.007856341189674524,0.06999999999999999,220
1195,0.9932659932659933,20,0.006734006734006734,0.08,220
1196,0.9932659932659933,20,0.006734006734006734,0.09,220
1197,0.9461279461279462,21,0.05387205387205387,0.01,220
1198,0.9809203142536476,21,0.019079685746352413,0.02,220
1199,0.9887766554433222,21,0.01122334455667789,0.03,220
1200,0.9910213243546577,21,0.008978675645342313,0.04,220
1201,0.9921436588103255,21,0.007856341189674524,0.05,220
1202,0.9921436588103255,21,0.007856341189674524,0.060000000000000005,220
1203,0.9921436588103255,21,0.007856341189674524,0.06999999999999999,220
1204,0.9932659932659933,21,0.006734006734006734,0.08,220
1205,0.9932659932659933,21,0.006734006734006734,0.09,220
1206,0.9461279461279462,22,0.05387205387205387,0.01,220
1207,0.9809203142536476,22,0.019079685746352413,0.02,220
1208,0.98989898989899,22,0.010101010101010102,0.03,220
1209,0.9910213243546577,22,0.008978675645342313,0.04,220
1210,0.9921436588103255,22,0.007856341189674524,0.05,220
1211,0.9921436588103255,22,0.007856341189674524,0.060000000000000005,220
1212,0.9932659932659933,22,0.006734006734006734,0.06999999999999999,220
1213,0.9932659932659933,22,0.006734006734006734,0.08,220
1214,0.9932659932659933,22,0.006734006734006734,0.09,220
1215,0.9461279461279462,23,0.05387205387205387,0.01,220
1216,0.9809203142536476,23,0.019079685746352413,0.02,220
1217,0.98989898989899,23,0.010101010101010102,0.03,220
1218,0.9910213243546577,23,0.008978675645342313,0.04,220
1219,0.9921436588103255,23,0.007856341189674524,0.05,220
1220,0.9921436588103255,23,0.007856341189674524,0.060000000000000005,220
1221,0.9932659932659933,23,0.006734006734006734,0.06999999999999999,220
1222,0.9921436588103255,23,0.007856341189674524,0.08,220
1223,0.9932659932659933,23,0.006734006734006734,0.09,220
1224,0.9461279461279462,24,0.05387205387205387,0.01,220
1225,0.9820426487093153,24,0.017957351290684626,0.02,220
1226,0.9887766554433222,24,0.01122334455667789,0.03,220
1227,0.9910213243546577,24,0.008978675645342313,0.04,220
1228,0.9921436588103255,24,0.007856341189674524,0.05,220
1229,0.9921436588103255,24,0.007856341189674524,0.060000000000000005,220
1230,0.9921436588103255,24,0.007856341189674524,0.06999999999999999,220
1231,0.9921436588103255,24,0.007856341189674524,0.08,220
1232,0.9932659932659933,24,0.006734006734006734,0.09,220
1233,0.9461279461279462,25,0.05387205387205387,0.01,220
1234,0.9831649831649831,25,0.016835016835016835,0.02,220
1235,0.9887766554433222,25,0.01122334455667789,0.03,220
1236,0.9910213243546577,25,0.008978675645342313,0.04,220
1237,0.9921436588103255,25,0.007856341189674524,0.05,220
1238,0.9921436588103255,25,0.007856341189674524,0.060000000000000005,220
1239,0.9921436588103255,25,0.007856341189674524,0.06999999999999999,220
1240,0.9921436588103255,25,0.007856341189674524,0.08,220
1241,0.9932659932659933,25,0.006734006734006734,0.09,220
1242,0.9461279461279462,26,0.05387205387205387,0.01,220
1243,0.9820426487093153,26,0.017957351290684626,0.02,220
1244,0.9887766554433222,26,0.01122334455667789,0.03,220
1245,0.9910213243546577,26,0.008978675645342313,0.04,220
1246,0.9921436588103255,26,0.007856341189674524,0.05,220
1247,0.9921436588103255,26,0.007856341189674524,0.060000000000000005,220
1248,0.9932659932659933,26,0.006734006734006734,0.06999999999999999,220
1249,0.9932659932659933,26,0.006734006734006734,0.08,220
1250,0.9932659932659933,26,0.006734006734006734,0.09,220
1251,0.9461279461279462,27,0.05387205387205387,0.01,220
1252,0.9809203142536476,27,0.019079685746352413,0.02,220
1253,0.9887766554433222,27,0.01122334455667789,0.03,220
1254,0.9910213243546577,27,0.008978675645342313,0.04,220
1255,0.9921436588103255,27,0.007856341189674524,0.05,220
1256,0.9921436588103255,27,0.007856341189674524,0.060000000000000005,220
1257,0.9932659932659933,27,0.006734006734006734,0.06999999999999999,220
1258,0.9932659932659933,27,0.006734006734006734,0.08,220
1259,0.9932659932659933,27,0.006734006734006734,0.09,220
1260,0.9461279461279462,28,0.05387205387205387,0.01,220
1261,0.9809203142536476,28,0.019079685746352413,0.02,220
1262,0.9887766554433222,28,0.01122334455667789,0.03,220
1263,0.9910213243546577,28,0.008978675645342313,0.04,220
1264,0.9921436588103255,28,0.007856341189674524,0.05,220
1265,0.9921436588103255,28,0.007856341189674524,0.060000000000000005,220
1266,0.9932659932659933,28,0.006734006734006734,0.06999999999999999,220
1267,0.9932659932659933,28,0.006734006734006734,0.08,220
1268,0.9932659932659933,28,0.006734006734006734,0.09,220
1269,0.9461279461279462,29,0.05387205387205387,0.01,220
1270,0.9809203142536476,29,0.019079685746352413,0.02,220
1271,0.9887766554433222,29,0.01122334455667789,0.03,220
